X;Filing Date;Trade Date;Ticker;Insider Name;Title;Trade Type;Price;Qty;Value;FC
DM;2024-12-04 16:37:33;2024-12-02;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-4444;0;0001127602-24-028638
;2024-11-08 16:05:27;2024-11-07;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;S - Sale;26.0;-25000;650000;0001127602-24-026829
;2024-11-06 16:06:28;2024-11-04;INTC;Gelsinger Patrick P;CEO, Director;P - Purchase;22.53;11150;251198;0001127602-24-026581
D;2024-11-01 16:52:04;2024-10-31;INTC;Zinsner David;EVP, CFO;M - OptEx;0.0;6502;0;0001127602-24-026230
D;2024-11-01 16:52:04;2024-10-31;INTC;Zinsner David;EVP, CFO;F - Tax;21.86;-3224;70477;0001127602-24-026230
D;2024-11-01 16:52:04;2024-10-31;INTC;Zinsner David;EVP, CFO;M - OptEx;0.0;-6502;0;0001127602-24-026230
D;2024-11-01 16:50:55;2024-10-31;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;M - OptEx;0.0;8119;0;0001127602-24-026229
D;2024-11-01 16:50:55;2024-10-31;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;F - Tax;21.86;-3195;69843;0001127602-24-026229
D;2024-11-01 16:50:55;2024-10-31;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;M - OptEx;0.0;-8119;0;0001127602-24-026229
D;2024-11-01 16:48:44;2024-10-31;INTC;Gelsinger Patrick P;CEO, Director;M - OptEx;0.0;6779;0;0001127602-24-026228
D;2024-11-01 16:48:44;2024-10-31;INTC;Gelsinger Patrick P;CEO, Director;F - Tax;21.86;-3362;73493;0001127602-24-026228
D;2024-11-01 16:48:44;2024-10-31;INTC;Gelsinger Patrick P;CEO, Director;M - OptEx;0.0;-6779;0;0001127602-24-026228
D;2024-11-01 16:46:48;2024-10-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;8062;0;0001127602-24-026225
D;2024-11-01 16:46:48;2024-10-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";F - Tax;22.6;-3998;90355;0001127602-24-026225
D;2024-11-01 16:46:48;2024-10-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;-8062;0;0001127602-24-026225
DM;2024-11-01 16:43:59;2024-10-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;7624;0;0001127602-24-026224
DM;2024-11-01 16:43:59;2024-10-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;22.6;-3781;85451;0001127602-24-026224
DM;2024-11-01 16:43:59;2024-10-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-7624;0;0001127602-24-026224
D;2024-11-01 16:42:13;2024-10-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;2723;0;0001127602-24-026223
D;2024-11-01 16:42:13;2024-10-30;INTC;Miller Boise April;EVP and Chief Legal Officer;F - Tax;22.6;-1351;30533;0001127602-24-026223
D;2024-11-01 16:42:13;2024-10-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;-2723;0;0001127602-24-026223
D;2024-10-01 17:09:19;2024-09-27;INTC;Yeary Frank D;Director;A - Grant;0.0;0;0;0001127602-24-024726
D;2024-10-01 17:08:18;2024-09-27;INTC;Smith Gregory D;Director;A - Grant;0.0;0;0;0001127602-24-024725
D;2024-10-01 17:07:01;2024-09-27;INTC;Ishrak Omar;Director;A - Grant;0.0;0;0;0001127602-24-024724
D;2024-10-01 17:06:05;2024-09-27;INTC;Goldsmith Andrea Jo;Director;A - Grant;0.0;0;0;0001127602-24-024723
DM;2024-09-04 19:38:13;2024-08-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;4442;0;0001127602-24-023450
DM;2024-09-04 19:38:13;2024-08-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;21.23;-2203;46774;0001127602-24-023450
DM;2024-09-04 19:38:13;2024-08-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-4442;0;0001127602-24-023450
M;2024-08-07 16:23:22;2024-08-05;INTC;Gelsinger Patrick P;CEO, Director;P - Purchase;20.16;12500;251946;0001127602-24-021794
D;2024-08-02 16:33:39;2024-07-31;INTC;Zinsner David;EVP, CFO;M - OptEx;0.0;6503;0;0001127602-24-021508
D;2024-08-02 16:33:39;2024-07-31;INTC;Zinsner David;EVP, CFO;F - Tax;30.58;-3225;98621;0001127602-24-021508
D;2024-08-02 16:33:39;2024-07-31;INTC;Zinsner David;EVP, CFO;M - OptEx;0.0;-6503;0;0001127602-24-021508
D;2024-08-02 16:31:36;2024-07-31;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;M - OptEx;0.0;8118;0;0001127602-24-021504
D;2024-08-02 16:31:36;2024-07-31;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;F - Tax;30.58;-3195;97703;0001127602-24-021504
D;2024-08-02 16:31:36;2024-07-31;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;M - OptEx;0.0;-8118;0;0001127602-24-021504
D;2024-08-02 16:30:18;2024-07-31;INTC;Gelsinger Patrick P;CEO, Director;M - OptEx;0.0;6778;0;0001127602-24-021499
D;2024-08-02 16:30:18;2024-07-31;INTC;Gelsinger Patrick P;CEO, Director;F - Tax;30.58;-3361;102779;0001127602-24-021499
D;2024-08-02 16:30:18;2024-07-31;INTC;Gelsinger Patrick P;CEO, Director;M - OptEx;0.0;-6778;0;0001127602-24-021499
D;2024-08-01 16:55:57;2024-07-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;8063;0;0001127602-24-021384
D;2024-08-01 16:55:57;2024-07-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";F - Tax;30.46;-3998;121779;0001127602-24-021384
D;2024-08-01 16:55:57;2024-07-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;-8063;0;0001127602-24-021384
DM;2024-08-01 16:54:32;2024-07-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;7625;0;0001127602-24-021382
DM;2024-08-01 16:54:32;2024-07-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;30.46;-3782;115200;0001127602-24-021382
DM;2024-08-01 16:54:32;2024-07-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-7625;0;0001127602-24-021382
DM;2024-08-01 16:52:41;2024-07-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;20149;0;0001127602-24-021380
DM;2024-08-01 16:52:41;2024-07-30;INTC;Miller Boise April;EVP and Chief Legal Officer;F - Tax;30.46;-9991;304326;0001127602-24-021380
DM;2024-08-01 16:52:41;2024-07-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;-20149;0;0001127602-24-021380
D;2024-07-02 16:48:37;2024-06-28;INTC;Yeary Frank D;Director;A - Grant;0.0;0;0;0001127602-24-019904
D;2024-07-02 16:46:29;2024-06-28;INTC;Smith Gregory D;Director;A - Grant;0.0;0;0;0001127602-24-019902
D;2024-07-02 16:44:01;2024-06-28;INTC;Ishrak Omar;Director;A - Grant;0.0;0;0;0001127602-24-019900
D;2024-07-02 16:40:25;2024-06-28;INTC;Goldsmith Andrea Jo;Director;A - Grant;0.0;0;0;0001127602-24-019898
D;2024-06-03 16:42:58;2024-05-30;INTC;Zinsner David;EVP, CFO;M - OptEx;0.0;37003;0;0001127602-24-017320
D;2024-06-03 16:42:58;2024-05-30;INTC;Zinsner David;EVP, CFO;F - Tax;30.28;-18347;555547;0001127602-24-017320
D;2024-06-03 16:42:58;2024-05-30;INTC;Zinsner David;EVP, CFO;M - OptEx;0.0;-37003;0;0001127602-24-017320
D;2024-06-03 16:40:51;2024-05-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;41712;0;0001127602-24-017313
D;2024-06-03 16:40:51;2024-05-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";F - Tax;30.28;-20681;626221;0001127602-24-017313
D;2024-06-03 16:40:51;2024-05-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;-41712;0;0001127602-24-017313
D;2024-06-03 16:39:15;2024-05-30;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;M - OptEx;0.0;46198;0;0001127602-24-017311
D;2024-06-03 16:39:15;2024-05-30;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;F - Tax;30.28;-18179;550460;0001127602-24-017311
D;2024-06-03 16:39:15;2024-05-30;INTC;Holthaus Michelle Johnston;EVP  GM, CCG;M - OptEx;0.0;-46198;0;0001127602-24-017311
D;2024-06-03 16:37:22;2024-05-30;INTC;Gelsinger Patrick P;CEO, Director;M - OptEx;0.0;48216;0;0001127602-24-017308
D;2024-06-03 16:37:22;2024-05-30;INTC;Gelsinger Patrick P;CEO, Director;F - Tax;30.28;-23906;723874;0001127602-24-017308
D;2024-06-03 16:37:22;2024-05-30;INTC;Gelsinger Patrick P;CEO, Director;M - OptEx;0.0;-48216;0;0001127602-24-017308
DM;2024-06-03 16:35:10;2024-05-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;4443;0;0001127602-24-017305
DM;2024-06-03 16:35:10;2024-05-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;30.36;-2203;66878;0001127602-24-017305
DM;2024-06-03 16:35:10;2024-05-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-4443;0;0001127602-24-017305
D;2024-06-03 16:31:04;2024-05-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;22426;0;0001127602-24-017296
D;2024-06-03 16:31:04;2024-05-30;INTC;Miller Boise April;EVP and Chief Legal Officer;F - Tax;30.28;-11119;336683;0001127602-24-017296
D;2024-06-03 16:31:04;2024-05-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;-22426;0;0001127602-24-017296
D;2024-05-10 16:26:31;2024-05-08;INTC;Yeary Frank D;Director;A - Grant;0.0;7403;0;0001127602-24-015005
DM;2024-05-10 16:25:27;2024-05-08;INTC;Weisler Dion J;Director;A - Grant;0.0;11364;0;0001127602-24-015004
DM;2024-05-10 16:24:27;2024-05-08;INTC;Tan Lip Bu;Director;A - Grant;0.0;10290;0;0001127602-24-015003
DM;2024-05-10 16:22:59;2024-05-08;INTC;Smith Stacy J;Director;A - Grant;0.0;10068;0;0001127602-24-015000
D;2024-05-10 16:21:59;2024-05-08;INTC;Smith Gregory D;Director;A - Grant;0.0;7403;0;0001127602-24-014999
DM;2024-05-10 16:20:54;2024-05-08;INTC;Novick Barbara;Director;A - Grant;0.0;11031;0;0001127602-24-014997
D;2024-05-10 16:19:57;2024-05-08;INTC;Liu Tsu-Jae King;Director;A - Grant;0.0;7403;0;0001127602-24-014995
